time,ball-id,speed,kinetic,potential,total
0,purple,20.615528128088304,1062.5000000000002,-981.0000000000001,2043.5000000000005
0,orange,14.142135623730951,900.0000000000001,-3531.6000000000004,4431.6
0,green_,12.36931687685298,535.4999999999999,-4806.900000000001,5342.400000000001
0,black_,11.180339887498949,187.50000000000003,-588.6,776.1
0,blue__,36.138621999185304,1306.0,-196.20000000000002,1502.2
0,red___,25.179356624028344,317.0,-539.5500000000001,856.5500000000001
0.0083333333,purple,20.694846775208717,1070.6917076234165,-972.8082923765837,2043.5000000000002
0.0083333333,orange,14.200059262408258,907.3875737515795,-3524.212426248421,4431.6
0.0083333333,green_,12.3497442509717,533.8066407254299,-4808.5933592745705,5342.400000000001
0.0083333333,black_,11.10728063339477,185.0575246034798,-591.0424753965202,776.1
0.0083333333,blue__,36.05945344962034,1300.2841830853365,-201.91581691466345,1502.2
0.0083333333,red___,25.09819083278308,314.9595915393983,-541.5904084606018,856.5500000000001
0.0166666666,purple,20.774184273362607,1078.9168305590656,-964.5831694409346,2043.5000000000002
0.0166666666,orange,14.258216306281307,914.8352950651778,-3516.7647049348225,4431.6
0.0166666666,green_,12.330682554251007,532.1600628879855,-4810.239937112015,5342.4
0.0166666666,black_,11.03434330909031,182.63509839429918,-593.4649016057007,776.0999999999999
0.0166666666,blue__,35.98029644535417,1294.5817322955659,-207.61826770443386,1502.1999999999998
0.0166666666,red___,25.017028846017787,312.92586614124303,-543.624133858757,856.55
0.0249999999,purple,20.85354040739315,1087.1753688069473,-956.3246311930529,2043.5000000000002
0.0249999999,orange,14.316603910927999,922.3431639407949,-3509.256836059205,4431.599999999999
0.0249999999,green_,12.312134159759015,530.5602664876669,-4811.839733512333,5342.4
0.0249999999,black_,10.96153034852519,180.23272137245817,-595.8672786275417,776.0999999999999
0.0249999999,blue__,35.90115106275408,1288.8926476306885,-213.3073523693112,1502.1999999999998
0.0249999999,red___,24.935870700881264,310.89882380553433,-545.6511761944656,856.55
0.0333333332,purple,20.932914965355987,1095.4673223670616,-948.0326776329385,2043.5
0.0333333332,orange,14.375219266953273,929.9111803784307,-3501.688819621569,4431.599999999999
0.0333333332,green_,12.294101390788697,529.007251524474,-4813.392748475526,5342.4
0.0333333332,black_,10.888844246535282,177.85039353795676,-598.2496064620431,776.0999999999998
0.0333333332,blue__,35.822017378851015,1283.216929090704,-218.98307090929544,1502.1999999999996
0.0333333332,red___,24.85471643500574,308.87846453227223,-547.6715354677278,856.5500000000001
0.041666666500000005,purple,21.012307738460418,1103.792691239409,-939.7073087605916,2043.5000000000005
0.041666666500000005,orange,14.434059599726734,937.5393443780856,-3494.0606556219145,4431.6
0.041666666500000005,green_,12.27658651950832,527.5010179984071,-4814.898982001593,5342.400000000001
0.041666666500000005,black_,10.81628756061262,175.48811489079495,-600.6118851092049,776.0999999999998
0.041666666500000005,blue__,35.74289547134666,1277.5545766756134,-224.64542332438663,1502.2
0.041666666500000005,red___,24.77356608651474,306.8647883214567,-549.6852116785434,856.5500000000001
0.04999999980000001,purple,21.091718521011877,1112.1514754239886,-931.3485245760119,2043.5000000000005
0.04999999980000001,orange,14.493122169113022,945.227655939759,-3486.3723440602407,4431.599999999999
0.04999999980000001,green_,12.259591765627732,526.0415659094655,-4816.358434090534,5342.399999999999
0.04999999980000001,black_,10.743862912719763,173.14588543097278,-602.9541145690271,776.0999999999999
0.04999999980000001,blue__,35.6637854186206,1271.9055903854153,-230.29440961458474,1502.2
0.04999999980000001,red___,24.692419694031102,304.85779517308754,-551.6922048269125,856.5500000000001
0.05833333310000001,purple,21.17114711035565,1120.543674920801,-922.9563250791995,2043.5000000000005
0.05833333310000001,orange,14.552404269195533,952.9761150634517,-3478.6238849365486,4431.6
0.05833333310000001,green_,12.243119295082208,524.6288952576499,-4817.77110474235,5342.4
0.05833333310000001,black_,10.671572991160213,170.8237051584902,-605.2762948415096,776.0999999999999
0.05833333310000001,blue__,35.584687299737645,1266.2699702201096,-235.93002977988976,1502.1999999999994
0.05833333310000001,red___,24.611277296685152,302.857485087165,-553.692514912835,856.55
0.0666666664,purple,21.250593306821777,1128.9692897298462,-914.5307102701545,2043.5000000000007
0.0666666664,orange,14.611903227993894,960.7847217491626,-3470.8152782508373,4431.6
0.0666666664,green_,12.22717121873552,523.26300604296,-4819.1369939570395,5342.4
0.0666666664,black_,10.599420552506546,168.52157407334724,-607.5784259266526,776.0999999999998
0.0666666664,blue__,35.50560119445519,1260.6477161796977,-241.55228382030174,1502.1999999999994
0.0666666664,red___,24.53013893412302,300.863858063689,-555.6861419363111,856.5500000000001
0.0749999997,purple,21.330056913671132,1137.4283198511241,-906.0716801488767,2043.500000000001
0.0749999997,orange,14.67161640717578,968.6534759968929,-3462.9465240031072,4431.6
0.0749999997,green_,12.211749591103946,521.9438982653958,-4820.456101734603,5342.399999999999
0.0749999997,black_,10.52740842358789,166.2394921755439,-609.860507824456,776.0999999999999
0.0749999997,blue__,35.42652718323063,1255.0388282641788,-247.16117173582066,1502.1999999999996
0.0749999997,red___,24.449004646515146,298.8769141026596,-557.6730858973406,856.5500000000002
0.083333333,purple,21.409537737042662,1145.9207652846344,-897.5792347153662,2043.5000000000005
0.083333333,orange,14.731541201763436,976.5823778066416,-3455.017622193359,4431.6
0.083333333,green_,12.196856409102862,520.6715719249574,-4821.728428075042,5342.4
0.083333333,black_,10.455539503538468,163.97745946508013,-612.1225405349197,776.0999999999999
0.083333333,blue__,35.347465347228976,1249.4433064735533,-252.7566935264465,1502.1999999999998
